order_item_id,created_at,order_id,price_usd,cogs_usd,website_session_id
1,2012/3/19 10:42,1,49.99,19.49,20
2,2012/3/19 19:27,2,49.99,19.49,104
3,2012/3/20 06:44,3,49.99,19.49,147
4,2012/3/20 09:41,4,49.99,19.49,160
5,2012/3/20 11:28,5,49.99,19.49,177
6,2012/3/20 16:12,6,49.99,19.49,232
7,2012/3/20 17:03,7,49.99,19.49,241
8,2012/3/20 23:35,8,49.99,19.49,295
9,2012/3/21 02:35,9,49.99,19.49,304
10,2012/3/21 06:45,10,49.99,19.49,317
11,2012/3/21 07:28,11,49.99,19.49,321
12,2012/3/21 08:21,12,49.99,19.49,327
13,2012/3/21 08:45,13,49.99,19.49,332
14,2012/3/21 09:12,14,49.99,19.49,336
15,2012/3/21 16:40,15,49.99,19.49,428
16,2012/3/21 17:13,16,49.99,19.49,434
17,2012/3/21 20:28,17,49.99,19.49,465
18,2012/3/22 06:15,18,49.99,19.49,507
19,2012/3/22 10:03,19,49.99,19.49,536
20,2012/3/22 17:49,20,49.99,19.49,615
21,2012/3/22 20:33,21,49.99,19.49,639
22,2012/3/23 12:09,22,49.99,19.49,732
23,2012/3/23 14:16,23,49.99,19.49,750
24,2012/3/23 17:14,24,49.99,19.49,783
25,2012/3/24 09:21,25,49.99,19.49,844
26,2012/3/25 08:32,26,49.99,19.49,908
27,2012/3/25 08:51,27,49.99,19.49,909
28,2012/3/25 16:00,28,49.99,19.49,940
29,2012/3/25 21:23,29,49.99,19.49,954
30,2012/3/26 10:03,30,49.99,19.49,1018
31,2012/3/26 10:25,31,49.99,19.49,1023
32,2012/3/26 14:13,32,49.99,19.49,1059
33,2012/3/26 16:00,33,49.99,19.49,1081
34,2012/3/26 17:55,34,49.99,19.49,1094
35,2012/3/26 18:06,35,49.99,19.49,1098
36,2012/3/26 18:54,36,49.99,19.49,1105
37,2012/3/26 19:19,37,49.99,19.49,1107
38,2012/3/26 21:13,38,49.99,19.49,1125
39,2012/3/27 15:18,39,49.99,19.49,1243
40,2012/3/27 16:53,40,49.99,19.49,1256
41,2012/3/28 08:30,41,49.99,19.49,1330
42,2012/3/28 09:56,42,49.99,19.49,1343
43,2012/3/28 16:55,43,49.99,19.49,1419
44,2012/3/28 21:24,44,49.99,19.49,1454
45,2012/3/28 22:45,45,49.99,19.49,1463
46,2012/3/29 16:11,46,49.99,19.49,1581
47,2012/3/29 17:49,47,49.99,19.49,1605
48,2012/3/29 23:09,48,49.99,19.49,1643
49,2012/3/30 00:25,49,49.99,19.49,1646
50,2012/3/30 02:27,50,49.99,19.49,1654
51,2012/3/30 10:06,51,49.99,19.49,1685
52,2012/3/30 10:24,52,49.99,19.49,1691
53,2012/3/30 12:47,53,49.99,19.49,1709
54,2012/3/30 14:26,54,49.99,19.49,1726
55,2012/3/30 14:39,55,49.99,19.49,1729
56,2012/3/31 00:22,56,49.99,19.49,1790
57,2012/3/31 02:32,57,49.99,19.49,1802
58,2012/3/31 06:40,58,49.99,19.49,1807
59,2012/3/31 10:25,59,49.99,19.49,1823
60,2012/3/31 19:24,60,49.99,19.49,1863